"","Description","daGAL4_plus1","daGAL4_plus2","daGAL4_plus3","daGAL4_plus4","daGAL4_plus5","daGAL4_Ab_ARC1","daGAL4_Ab_ARC2","daGAL4_Ab_ARC3","daGAL4_Ab_ARC4","daGAL4_Ab_ARC5","logFC","adj.P.Val","gene_name","symbol","cutoff1"
"3140","Septin-1 OS=Drosophila melanogaster GN=Sep1 PE=1 SV=1",6.586,5.588,5.856,5.787,5.964,6.111,6.657,7.387,7.69,7.85,1.183,0.025,"Septin-1","Sep1","up"
"3141","Annexin B11 OS=Drosophila melanogaster GN=AnxB11 PE=2 SV=2",8.455,8.692,8.387,8.603,8.526,8.178,8.325,8.087,7.99,7.869,-0.443,0.012,"Annexin B11","AnxB11","no_change"
"3142","RE48687p OS=Drosophila melanogaster GN=Dmel\CG13284 PE=2 SV=1",7.489,7.281,7.35,7.109,7.309,7.056,7.369,7.879,8.207,8.608,0.516,0.126,"RE48687p","Dmel\CG13284","no_change"
"3143","CG5567 OS=Drosophila melanogaster GN=Phos5567 PE=1 SV=1",7.607,7.231,7.322,7.233,7.493,7.41,7.555,7.627,7.806,7.849,0.272,0.066,"CG5567","Phos5567","no_change"
"3144","CG5510 OS=Drosophila melanogaster GN=CG5510 PE=1 SV=1",6.72,6.312,6.607,6.464,6.666,6.396,6.733,6.68,6.633,6.373,0.009,0.949,"CG5510","CG5510","no_change"
"3145","Gamma-tubulin complex component 3 homolog OS=Drosophila melanogaster GN=l(1)dd4 PE=1 SV=2",7.66,7.604,7.784,7.879,7.299,7.835,8.047,7.942,7.917,7.582,0.219,0.157,"Gamma-tubulin complex component 3 homolog","l(1)dd4","no_change"
"3146","Beta galactosidase, isoform A OS=Drosophila melanogaster GN=Gal PE=1 SV=2",7.912,8.187,7.963,8.19,8.126,7.94,7.886,7.636,7.631,7.664,-0.324,0.024,"Beta galactosidase, isoform A","Gal","no_change"
"3147","GEO11096p1 OS=Drosophila melanogaster GN=CG34150 PE=2 SV=2",7.28,7.159,7.257,7.136,7.273,7.27,7.167,7.052,6.983,6.981,-0.13,0.154,"GEO11096p1","CG34150","no_change"
"3148","IP02009p OS=Drosophila melanogaster GN=Obp19c PE=2 SV=1",6.309,5.524,5.968,6.215,5.679,6.605,6.769,6.837,6.354,6.314,0.637,0.022,"IP02009p","Obp19c","no_change"
"3149","LD07709p OS=Drosophila melanogaster GN=4E-T PE=1 SV=1",7.088,7.279,7.277,7.222,7.133,7.219,6.991,6.996,6.822,6.7,-0.254,0.058,"LD07709p","4E-T","no_change"
"3150","CG4753, isoform A OS=Drosophila melanogaster GN=Dmel\CG4753 PE=2 SV=1",6.992,6.917,6.766,6.862,6.909,7.033,6.979,6.985,6.909,7.029,0.098,0.183,"CG4753, isoform A","Dmel\CG4753","no_change"
"3151","Mitochondrial ribosomal protein S6, isoform B OS=Drosophila melanogaster GN=mRpS6 PE=4 SV=1",8.172,7.329,7.984,7.738,7.806,7.83,8.154,8.207,8.359,8.32,0.368,0.082,"Mitochondrial ribosomal protein S6, isoform B","mRpS6","no_change"
"3152","Collagen alpha-1(IV) chain OS=Drosophila melanogaster GN=Cg25C PE=2 SV=3",6.056,6.292,6.445,6.16,5.847,6.757,6.759,6.457,6.116,6.781,0.414,0.055,"Collagen alpha-1(IV) chain","Cg25C","no_change"
"3153","MIP14975p OS=Drosophila melanogaster GN=Ntf-2 PE=1 SV=1",6.999,7.551,7.461,7.382,7.232,7.248,7.072,7.225,7.736,8.885,0.308,0.431,"MIP14975p","Ntf-2","no_change"
"3154","Oysgedart, isoform A OS=Drosophila melanogaster GN=oys PE=2 SV=1",6.167,6.842,6.375,6.468,6.151,6.52,6.121,5.886,5.842,5.788,-0.369,0.101,"Oysgedart, isoform A","oys","no_change"
"3155","Nucleolar complex protein 2 homolog OS=Drosophila melanogaster GN=CG9246 PE=1 SV=1",7.774,7.809,7.667,7.648,7.763,7.393,7.596,7.52,7.45,7.427,-0.255,0.016,"Nucleolar complex protein 2 homolog","CG9246","no_change"
"3156","CG9300 OS=Drosophila melanogaster GN=Dmel\CG9300 PE=1 SV=1",6.243,6.386,6.369,6.492,6.183,6.256,6.298,6.256,6.097,6.059,-0.142,0.156,"CG9300","Dmel\CG9300","no_change"
"3157","NADPH:adrenodoxin oxidoreductase, mitochondrial OS=Drosophila melanogaster GN=dare PE=2 SV=1",6.514,6.095,6.403,5.974,6.265,6.378,6.387,6.688,6.876,6.97,0.409,0.05,"NADPH:adrenodoxin oxidoreductase, mitochondrial","dare","no_change"
"3158","Carbonyl reductase, isoform A OS=Drosophila melanogaster GN=CG11200 PE=1 SV=1",7.324,6.415,6.765,6.499,6.799,7.15,7.115,7.367,7.572,7.669,0.614,0.027,"Carbonyl reductase, isoform A","CG11200","no_change"
"3159","CG7044 OS=Drosophila melanogaster GN=CG7044-RA PE=1 SV=1",6.736,6.479,6.506,6.62,6.432,6.461,6.644,6.711,6.76,6.647,0.09,0.363,"CG7044","CG7044-RA","no_change"
"3160","GEO08441p1 OS=Drosophila melanogaster GN=LSm7 PE=1 SV=1",9.431,9.587,9.486,9.566,9.348,9.334,9.532,9.369,9.224,9.005,-0.191,0.13,"GEO08441p1","LSm7","no_change"
"3161","Ubiquinone biosynthesis O-methyltransferase, mitochondrial OS=Drosophila melanogaster GN=Coq3 PE=3 SV=3",7.555,7.485,7.603,7.535,7.609,7.572,7.558,7.412,7.454,7.584,-0.042,0.563,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial","Coq3","no_change"
"3162","Phosphodiesterase OS=Drosophila melanogaster GN=Pde1c PE=1 SV=1",5.238,5.789,5.755,5.763,5.83,5.945,5.524,5.208,5.003,4.546,-0.43,0.159,"Phosphodiesterase","Pde1c","no_change"
"3163","Myoblast city, isoform B OS=Drosophila melanogaster GN=mbc PE=3 SV=1",6.635,7.078,6.644,6.79,6.887,6.568,6.65,6.372,6.178,6.173,-0.419,0.027,"Myoblast city, isoform B","mbc","no_change"
"3164","Pre-mRNA-splicing factor Slu7 OS=Drosophila melanogaster GN=Slu7 PE=1 SV=2",8.579,8.559,8.561,8.573,8.501,8.542,8.611,8.398,8.409,7.918,-0.179,0.227,"Pre-mRNA-splicing factor Slu7","Slu7","no_change"
"3165","CG2258, isoform A OS=Drosophila melanogaster GN=CG2258 PE=1 SV=1",6.293,6.362,6.279,6.384,6.339,6.035,6.034,5.754,5.834,5.943,-0.411,0.005,"CG2258, isoform A","CG2258","no_change"
"3166","CG2091 OS=Drosophila melanogaster GN=CG2091 PE=1 SV=1",6.74,6.964,6.899,6.929,6.915,6.905,6.649,6.549,6.727,6.506,-0.222,0.058,"CG2091","CG2091","no_change"
"3167","Fumarylacetoacetase OS=Drosophila melanogaster GN=Faa PE=1 SV=2",7.533,7.797,7.617,7.82,7.753,7.606,7.224,7.234,7.16,7.094,-0.44,0.015,"Fumarylacetoacetase","Faa","no_change"
"3168","GEO11286p1 OS=Drosophila melanogaster GN=anon-SAGE:Wang-027 PE=2 SV=1",6.31,5.817,6.123,5.956,6.122,6.225,5.937,6.122,6.15,6.319,0.085,0.513,"GEO11286p1","anon-SAGE:Wang-027","no_change"
"3169","CG8602, isoform A OS=Drosophila melanogaster GN=anon-WO0118547.349 PE=2 SV=1",7.327,7.524,7.328,7.646,7.556,7.782,7.621,7.417,7.327,7.26,0.005,0.972,"CG8602, isoform A","anon-WO0118547.349","no_change"
"3170","GEO10158p1 OS=Drosophila melanogaster GN=mRpS14 PE=2 SV=2",7.717,7.606,7.811,7.697,7.676,7.891,7.852,7.757,7.776,7.911,0.136,0.084,"GEO10158p1","mRpS14","no_change"
"3171","AT03885p OS=Drosophila melanogaster GN=CG18508-RA PE=2 SV=1",7.841,8.215,8.075,8.136,8.134,7.762,7.859,7.629,7.312,7.326,-0.503,0.017,"AT03885p","CG18508-RA","no_change"
"3172","CG6073, isoform B OS=Drosophila melanogaster GN=CG6073 PE=4 SV=1",7.059,7.051,6.997,7.175,7.051,7.043,7.049,7.003,7.141,7.276,0.036,0.678,"CG6073, isoform B","CG6073","no_change"
"3173","DNA polymerase delta small subunit OS=Drosophila melanogaster GN=CG12018 PE=2 SV=1",6.776,7.122,7.188,7.232,6.805,7.33,7.247,7.288,7.112,6.821,0.135,0.398,"DNA polymerase delta small subunit","CG12018","no_change"
"3174","Uncharacterized protein OS=Drosophila melanogaster GN=CG15570 PE=1 SV=1",6.517,6.569,6.903,6.853,6.911,7.48,7.514,7.225,7.112,6.698,0.455,0.047,"Uncharacterized protein","CG15570","no_change"
"3175","Origin recognition complex subunit 5 OS=Drosophila melanogaster GN=Orc5 PE=1 SV=1",6.022,6.095,5.951,6.147,5.929,6.239,6.288,6.145,6.266,5.999,0.159,0.102,"Origin recognition complex subunit 5","Orc5","no_change"
"3176","Signal peptidase complex subunit 3 OS=Drosophila melanogaster GN=Spase22-23 PE=2 SV=1",7.594,7.7,7.611,7.593,7.561,7.594,7.551,7.405,7.478,7.381,-0.13,0.1,"Signal peptidase complex subunit 3","Spase22-23","no_change"
"3177","Ferredoxin 1, isoform B OS=Drosophila melanogaster GN=Fdx1 PE=4 SV=1",8.552,8.954,8.915,9.004,8.965,8.771,8.6,8.31,8.157,8.036,-0.503,0.028,"Ferredoxin 1, isoform B","Fdx1","no_change"
"3178","FI16806p1 OS=Drosophila melanogaster GN=CG17271-RB PE=1 SV=1",7.387,8.007,7.643,7.814,7.599,7.329,7.299,7.012,6.764,6.568,-0.695,0.017,"FI16806p1","CG17271-RB","no_change"
"3179","GH23975p OS=Drosophila melanogaster GN=MFS9 PE=2 SV=1",6.721,6.885,6.802,6.606,6.911,6.174,6.54,6.466,6.333,6.48,-0.387,0.014,"GH23975p","MFS9","no_change"
"3180","CG1628, isoform B OS=Drosophila melanogaster GN=CG1628 PE=3 SV=1",6.815,6.479,6.586,6.319,6.713,6.61,6.743,7.124,7.188,7.153,0.381,0.053,"CG1628, isoform B","CG1628","no_change"
"3181","Elongation of very long chain fatty acids protein OS=Drosophila melanogaster GN=CG12138 PE=2 SV=1",7.317,7.096,7.17,7.328,6.993,6.942,6.932,6.99,6.715,6.847,-0.295,0.025,"Elongation of very long chain fatty acids protein","CG12138","no_change"
"3182","Ras-related protein Rac1 OS=Drosophila melanogaster GN=Rac1 PE=1 SV=2",7.029,6.501,6.947,6.374,6.684,6.709,7.032,7.248,7.455,7.482,0.478,0.054,"Ras-related protein Rac1","Rac1","no_change"
"3183","AT02057p OS=Drosophila melanogaster GN=CG8176 PE=1 SV=1",6.335,7.131,6.444,6.814,6.753,6.558,6.512,6.473,5.966,5.904,-0.413,0.094,"AT02057p","CG8176","no_change"
"3184","Receptor-mediated endocytosis protein 6 homolog OS=Drosophila melanogaster GN=CG1657 PE=1 SV=2",5.022,5.156,5.403,5.158,4.953,5.431,5.156,5.033,5.118,4.902,-0.01,0.947,"Receptor-mediated endocytosis protein 6 homolog","CG1657","no_change"
"3185","Cutlet OS=Drosophila melanogaster GN=cutlet PE=1 SV=2",5.06,5.558,5.668,5.745,5.333,5.616,5.351,5.279,5.163,4.684,-0.254,0.264,"Cutlet","cutlet","no_change"
"3186","Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1 OS=Drosophila melanogaster GN=Mesh1 PE=1 SV=1",6.988,6.967,7.134,6.984,6.997,7.037,7.194,7.125,7.099,6.965,0.07,0.358,"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1","Mesh1","no_change"
"3187","Ribosome assembly factor mrt4 OS=Drosophila melanogaster GN=RpLP0-like PE=1 SV=1",7.689,7.596,7.617,7.792,7.695,7.511,7.611,7.515,7.435,7.572,-0.149,0.066,"Ribosome assembly factor mrt4","RpLP0-like","no_change"
"3188","Uncharacterized protein, isoform C OS=Drosophila melanogaster GN=CG14445 PE=4 SV=1",7.273,7.168,7.32,7.074,7.396,7.06,7.156,7.06,7.098,7.287,-0.114,0.237,"Uncharacterized protein, isoform C","CG14445","no_change"
"3189","NAD kinase 2, mitochondrial OS=Drosophila melanogaster GN=CG8080 PE=1 SV=1",6.761,6.879,6.785,6.845,6.784,6.813,6.819,6.701,6.614,6.779,-0.065,0.369,"NAD kinase 2, mitochondrial","CG8080","no_change"
"3190","CG3353 OS=Drosophila melanogaster GN=Smyd5 PE=1 SV=2",6.929,6.524,6.944,6.648,6.686,6.687,6.904,6.897,6.915,6.906,0.116,0.324,"CG3353","Smyd5","no_change"
"3191","Igloo, isoform A OS=Drosophila melanogaster GN=igl PE=1 SV=1",7.858,8.167,8.039,8.137,8.321,8.238,7.572,7.501,7.488,7.818,-0.381,0.066,"Igloo, isoform A","igl","no_change"
"3192","CG4069 OS=Drosophila melanogaster GN=anon-WO0172774.58 PE=1 SV=1",7.569,7.736,7.778,7.654,7.517,7.482,7.681,7.577,7.391,7.184,-0.188,0.136,"CG4069","anon-WO0172774.58","no_change"
"3193","CG7084, isoform B OS=Drosophila melanogaster GN=CG7084 PE=2 SV=1",7.549,7.726,7.827,7.569,7.678,7.56,7.528,7.469,7.66,7.685,-0.089,0.325,"CG7084, isoform B","CG7084","no_change"
"3194","LD37882p1 OS=Drosophila melanogaster GN=CG42496-RA PE=2 SV=1",6.403,6.499,6.458,6.599,6.753,6.513,6.353,6.264,6.403,6.156,-0.205,0.084,"LD37882p1","CG42496-RA","no_change"
"3195","CG3513 OS=Drosophila melanogaster GN=Dmel\CG3513 PE=2 SV=1",6.009,5.379,5.786,5.107,5.474,5.647,6.14,6.697,6.456,6.57,0.751,0.028,"CG3513","Dmel\CG3513","no_change"
"3196","Missing-in-metastasis, isoform H OS=Drosophila melanogaster GN=mim PE=4 SV=1",4.064,4.631,4.35,4.154,4.333,4.327,4.137,3.592,3.408,3.588,-0.496,0.057,"Missing-in-metastasis, isoform H","mim","no_change"
"3197","Uncharacterized protein, isoform G OS=Drosophila melanogaster GN=CG42795 PE=1 SV=1",5.208,6.085,5.607,5.745,5.764,5.369,5.182,5.145,4.429,4.967,-0.663,0.028,"Uncharacterized protein, isoform G","CG42795","no_change"
"3198","Condensin complex subunit 2 OS=Drosophila melanogaster GN=barr PE=1 SV=1",4.324,4.323,4.079,4.36,3.926,4.198,4.412,4.131,3.606,3.889,-0.156,0.413,"Condensin complex subunit 2","barr","no_change"
"3199","GEO05133p1 OS=Drosophila melanogaster GN=Dmel\CG11523 PE=1 SV=1",4.793,4.458,4.504,4.548,4.428,4.528,4.106,4.34,4.275,4.513,-0.194,0.137,"GEO05133p1","Dmel\CG11523","no_change"
"3200","RE18811p OS=Drosophila melanogaster GN=CG12177 PE=2 SV=1",7.059,7.189,7.125,7.033,7.137,7.017,7.083,6.936,6.662,6.714,-0.226,0.066,"RE18811p","CG12177","no_change"
"3201","Chorion protein S16 OS=Drosophila melanogaster GN=Cp16 PE=2 SV=2",5.073,2.799,4.758,4.569,4.239,5.268,5.567,6.369,7.074,7.015,1.971,0.018,"Chorion protein S16","Cp16","up"
"3202","Down syndrome cell adhesion molecule 1, isoform BX (Fragment) OS=Drosophila melanogaster GN=Dscam1 PE=1 SV=1",5.03,5.223,5.183,5.033,5.589,5.47,4.742,4.592,4.89,4.572,-0.358,0.123,"Down syndrome cell adhesion molecule 1, isoform BX (Fragment)","Dscam1","no_change"
"3203","tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A OS=Drosophila melanogaster GN=CG14544 PE=1 SV=1",6.637,6.719,6.98,6.793,6.57,6.73,6.829,6.799,6.813,6.602,0.015,0.897,"tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A","CG14544","no_change"
"3204","CG9782 OS=Drosophila melanogaster GN=CG9782 PE=1 SV=2",4.847,5.588,5.366,5.221,5.212,4.873,4.946,4.659,4.596,4.248,-0.582,0.023,"CG9782","CG9782","no_change"
"3205","GEO02620p1 OS=Drosophila melanogaster GN=Tim10-RA PE=2 SV=1",6.912,6.138,7.135,6.77,6.778,7.166,6.841,6.887,6.692,6.935,0.157,0.457,"GEO02620p1","Tim10-RA","no_change"
"3206","Thrombospondin, isoform A OS=Drosophila melanogaster GN=Tsp PE=4 SV=2",5.655,5.908,5.891,5.799,5.862,5.797,5.652,5.471,5.83,6.17,-0.039,0.805,"Thrombospondin, isoform A","Tsp","no_change"
"3207","GEO09424p1 OS=Drosophila melanogaster GN=Ubc6 PE=1 SV=1",5.671,4.481,4.848,4.336,4.995,5.014,5.638,6.435,6.858,7.222,1.367,0.032,"GEO09424p1","Ubc6","up"
"3208","Peptide deformylase OS=Drosophila melanogaster GN=CG31278 PE=2 SV=2",5.009,5.474,4.943,5.247,5.129,5.056,5.163,4.723,4.734,4.819,-0.261,0.107,"Peptide deformylase","CG31278","no_change"
"3209","RE54080p OS=Drosophila melanogaster GN=ZnT35C PE=2 SV=1",6.853,7.17,6.968,7.051,7.09,6.773,6.722,6.596,6.343,6.407,-0.458,0.012,"RE54080p","ZnT35C","no_change"
"3210","CG2023, isoform A OS=Drosophila melanogaster GN=CG2023 PE=1 SV=1",6.701,6.584,6.449,6.875,6.865,6.925,6.632,6.731,6.474,6.219,-0.099,0.569,"CG2023, isoform A","CG2023","no_change"
"3211","MPN domain-containing protein CG4751 OS=Drosophila melanogaster GN=CG4751 PE=1 SV=1",5.935,6.36,6.01,6.005,6.188,6.231,5.827,5.863,5.665,5.556,-0.271,0.114,"MPN domain-containing protein CG4751","CG4751","no_change"
"3212","AT19489p OS=Drosophila melanogaster GN=Dmel\CG33054 PE=1 SV=1",6.644,6.778,6.669,6.718,6.805,6.627,6.496,6.585,6.282,6.528,-0.219,0.042,"AT19489p","Dmel\CG33054","no_change"
"3213","GM14138p OS=Drosophila melanogaster GN=CG17598 PE=2 SV=2",6.546,6.901,6.704,6.734,6.615,5.865,5.886,5.786,5.674,5.609,-0.936,0,"GM14138p","CG17598","no_change"
"3214","Nucleolar complex protein 3 homolog OS=Drosophila melanogaster GN=CG1234 PE=1 SV=1",6.775,6.892,6.88,6.877,6.811,6.687,6.439,6.15,6.189,6.319,-0.49,0.01,"Nucleolar complex protein 3 homolog","CG1234","no_change"
"3215","Cuticular protein 97Ea, isoform A OS=Drosophila melanogaster GN=Cpr97Ea PE=1 SV=2",7.804,7.891,7.818,7.716,7.877,7.392,7.352,7.226,7.426,7.617,-0.418,0.007,"Cuticular protein 97Ea, isoform A","Cpr97Ea","no_change"
"3216","NADH-ubiquinone oxidoreductase chain 5 OS=Drosophila melanogaster GN=mt:ND5 PE=3 SV=4",6.171,4.885,5.429,5.013,5.365,5.409,5.991,7.2,7.433,7.661,1.366,0.038,"NADH-ubiquinone oxidoreductase chain 5","mt:ND5","up"
"3217","Moca-cyp, isoform A OS=Drosophila melanogaster GN=Moca-cyp PE=1 SV=1",5.805,6.294,6.089,6.082,6.134,5.894,5.838,5.691,5.603,5.474,-0.381,0.025,"Moca-cyp, isoform A","Moca-cyp","no_change"
"3218","IP18235p OS=Drosophila melanogaster GN=mRpL17 PE=1 SV=2",7.524,7.832,7.703,7.713,7.665,7.505,7.598,7.387,7.475,7.416,-0.211,0.039,"IP18235p","mRpL17","no_change"
"3219","Non-specific lethal 1, isoform M OS=Drosophila melanogaster GN=nsl1 PE=1 SV=1",4.406,4.297,4.545,4.144,4.257,4.164,4.295,3.92,3.812,3.689,-0.354,0.048,"Non-specific lethal 1, isoform M","nsl1","no_change"
"3220","Neural/ectodermal development factor IMP-L2 OS=Drosophila melanogaster GN=ImpL2 PE=1 SV=4",5.723,5.802,5.568,5.748,5.217,5.771,5.717,5.582,5.483,5.218,-0.057,0.746,"Neural/ectodermal development factor IMP-L2","ImpL2","no_change"
"3221","GEO09647p1 OS=Drosophila melanogaster GN=CG12384 PE=1 SV=1",5.335,4.786,5.121,4.526,4.554,4.763,5.318,6.35,6.734,6.949,1.159,0.047,"GEO09647p1","CG12384","up"
"3222","Zinc/iron regulated transporter-related protein 99C, isoform D OS=Drosophila melanogaster GN=Zip99C PE=1 SV=1",6.87,7.049,6.993,7.005,7.06,6.743,6.737,6.793,6.655,6.602,-0.29,0.011,"Zinc/iron regulated transporter-related protein 99C, isoform D","Zip99C","no_change"
"3223","LD27216p OS=Drosophila melanogaster GN=Tbc1d15-17 PE=1 SV=1",7.368,7.496,7.335,7.44,7.367,7.414,7.26,7.086,7.002,6.808,-0.287,0.054,"LD27216p","Tbc1d15-17","no_change"
"3224","BcDNA.GH12326 OS=Drosophila melanogaster GN=BcDNA.GH12326 PE=1 SV=1",6.988,6.797,6.913,6.822,6.954,6.498,6.79,7.113,7.13,7.337,0.079,0.669,"BcDNA.GH12326","BcDNA.GH12326","no_change"
"3225","LD36051p OS=Drosophila melanogaster GN=CG31510-RA PE=1 SV=2",5.835,6.218,6.015,6.296,5.818,5.777,5.586,5.184,5.312,5.245,-0.616,0.014,"LD36051p","CG31510-RA","no_change"
"3226","Defective in cullin neddylation protein OS=Drosophila melanogaster GN=SCCRO PE=1 SV=1",6.015,5.792,6.191,6.06,5.948,5.985,6.245,6.297,6.456,6.12,0.219,0.103,"Defective in cullin neddylation protein","SCCRO","no_change"
"3227","Beta subunit of type I geranylgeranyl transferase, isoform A OS=Drosophila melanogaster GN=betaggt-I PE=2 SV=1",5.79,5.911,5.981,6.065,5.969,5.561,5.757,5.798,5.939,5.87,-0.158,0.136,"Beta subunit of type I geranylgeranyl transferase, isoform A","betaggt-I","no_change"
"3228","Uncharacterized protein OS=Drosophila melanogaster GN=CG31126 PE=3 SV=2",8.398,8.087,8.221,8.079,8.201,8.193,8.242,8.348,8.299,8.386,0.096,0.298,"Uncharacterized protein","CG31126","no_change"
"3229","LD32381p OS=Drosophila melanogaster GN=CG11975 PE=1 SV=1",7.424,7.338,7.408,7.453,7.313,7.548,7.415,7.371,7.343,7.443,0.037,0.619,"LD32381p","CG11975","no_change"
"3230","CG2257 OS=Drosophila melanogaster GN=UbcE2H PE=1 SV=1",6.824,6.803,6.712,6.787,6.818,6.753,6.777,7.063,6.952,6.949,0.11,0.212,"CG2257","UbcE2H","no_change"
"3231","Uncharacterized protein, isoform C OS=Drosophila melanogaster GN=CG30460 PE=4 SV=1",4.928,5.673,5.524,5.787,5.481,5.331,5.106,4.587,4.386,4.356,-0.726,0.032,"Uncharacterized protein, isoform C","CG30460","no_change"
"3232","CG3303 OS=Drosophila melanogaster GN=EndoU PE=2 SV=2",6.795,6.446,6.678,6.671,6.44,6.738,6.791,7.022,7.097,7.328,0.389,0.034,"CG3303","EndoU","no_change"
"3233","Protein Notchless OS=Drosophila melanogaster GN=Nle PE=1 SV=2",7.331,7.422,7.266,7.411,7.249,7.062,7.246,7.186,7.125,7.119,-0.188,0.036,"Protein Notchless","Nle","no_change"
"3234","Autophagy-related 16, isoform F OS=Drosophila melanogaster GN=Atg16 PE=1 SV=2",5.937,6.301,6.337,6.348,6.084,6.075,6.026,6.071,5.665,5.617,-0.311,0.069,"Autophagy-related 16, isoform F","Atg16","no_change"
"3235","COP9 signalosome complex subunit 5 OS=Drosophila melanogaster GN=CSN5 PE=1 SV=1",6.632,6.388,6.649,6.526,6.533,6.594,6.816,6.861,6.94,6.994,0.295,0.027,"COP9 signalosome complex subunit 5","CSN5","no_change"
"3236","Hoi-polloi, isoform B OS=Drosophila melanogaster GN=hoip PE=1 SV=1",7.078,6.398,6.848,6.273,6.556,6.538,7.068,7.576,7.821,8.064,0.783,0.051,"Hoi-polloi, isoform B","hoip","no_change"
"3237","CG5776, isoform A OS=Drosophila melanogaster GN=Dmel\CG5776 PE=2 SV=1",4.96,5.379,5.507,5.403,5.139,5.384,5.014,5.052,4.742,4.48,-0.343,0.118,"CG5776, isoform A","Dmel\CG5776","no_change"
"3238","Smooth, isoform T OS=Drosophila melanogaster GN=sm PE=1 SV=1",6.819,6.633,6.816,6.76,6.788,6.734,6.67,6.679,6.612,6.412,-0.142,0.131,"Smooth, isoform T","sm","no_change"
"3239","Cdc42-interacting protein 4, isoform B OS=Drosophila melanogaster GN=Cip4 PE=4 SV=1",6.741,6.816,6.795,6.68,6.71,6.811,6.787,6.868,6.996,7.213,0.187,0.098,"Cdc42-interacting protein 4, isoform B","Cip4","no_change"
"3240","Vacuolar protein sorting-associated protein 28 homolog OS=Drosophila melanogaster GN=Vps28 PE=1 SV=1",6.344,5.799,6.015,5.704,5.961,5.945,6.543,6.746,6.942,7.007,0.672,0.029,"Vacuolar protein sorting-associated protein 28 homolog","Vps28","no_change"
"3241","CG7777, isoform C OS=Drosophila melanogaster GN=Prip PE=1 SV=1",6.902,6.689,6.868,6.735,6.552,6.556,6.953,7.17,7.143,7.005,0.216,0.165,"CG7777, isoform C","Prip","no_change"
"3242","Cytochrome c oxidase subunit 2 OS=Drosophila melanogaster GN=mt:CoII PE=3 SV=1",6.482,6.714,6.74,6.51,6.633,6.576,6.81,6.767,6.933,7.619,0.325,0.143,"Cytochrome c oxidase subunit 2","mt:CoII","no_change"
"3243","CG8814 OS=Drosophila melanogaster GN=Dmel\CG8814 PE=2 SV=1",7.037,7.355,7.264,7.296,7.236,7.158,7.049,6.814,6.538,6.51,-0.424,0.034,"CG8814","Dmel\CG8814","no_change"
"3244","Uncharacterized protein, isoform A OS=Drosophila melanogaster GN=CG15611 PE=4 SV=1",5.881,5.77,5.886,5.932,5.785,5.854,5.946,5.549,5.085,5.177,-0.328,0.122,"Uncharacterized protein, isoform A","CG15611","no_change"
"3245","HL01112p OS=Drosophila melanogaster GN=eIF2Balpha PE=1 SV=1",7.385,7.126,7.311,7.239,7.308,7.173,7.475,7.394,7.445,7.371,0.098,0.294,"HL01112p","eIF2Balpha","no_change"
"3246","BcDNA.GH07269 OS=Drosophila melanogaster GN=BcDNA:GH07269 PE=1 SV=2",5.31,5.573,5.411,5.516,5.547,5.653,5.189,5.275,4.726,4.679,-0.367,0.108,"BcDNA.GH07269","BcDNA:GH07269","no_change"
"3247","CG4552 OS=Drosophila melanogaster GN=Dmel\CG4552 PE=1 SV=2",6.328,5.656,5.893,6.273,6.151,5.955,6.191,6.295,6.308,6.451,0.18,0.309,"CG4552","Dmel\CG4552","no_change"
"3248","Liprin-alpha, isoform E OS=Drosophila melanogaster GN=Liprin-alpha PE=1 SV=1",6.928,6.83,6.867,6.794,6.99,6.819,6.72,6.525,6.504,6.328,-0.303,0.032,"Liprin-alpha, isoform E","Liprin-alpha","no_change"
"3249","Uncharacterized protein, isoform B OS=Drosophila melanogaster GN=CG15894 PE=1 SV=1",5.696,5.991,5.953,6.008,5.998,5.48,5.412,5.191,5.275,5.258,-0.606,0.002,"Uncharacterized protein, isoform B","CG15894","no_change"
"3250","Cytoplasmic phosphatidylinositol transfer protein 1 OS=Drosophila melanogaster GN=rdgBbeta PE=2 SV=1",6.887,6.949,7.067,6.895,6.945,6.788,6.86,7.07,7.029,7.033,0.008,0.939,"Cytoplasmic phosphatidylinositol transfer protein 1","rdgBbeta","no_change"
